"","id","sex","age","rank_ba","rank_cg","rank_nb","roost"
"258","NBO_V_MA","M","A",NA,NA,NA,4
"259","NVG_V_MA","M","A",NA,NA,NA,4
"260","NPB_V_MA","M","J",NA,NA,NA,4
"261","OGB_H_MA","M","A",NA,NA,NA,4
"262","OGP_H_MA","M","A",NA,NA,NA,4
"263","OPT_H_MA","","",NA,NA,NA,4
"264","OTP_H_MA","","",NA,NA,NA,4
"265","NON_V_MA","F",NA,NA,NA,NA,4
"266","OV_V_MA",NA,NA,NA,NA,NA,4
"267","NTV_V_MA",NA,NA,NA,NA,NA,4
"268","ONP_V_MA",NA,NA,NA,NA,NA,4
"269","OVBO_H_MA",NA,NA,NA,NA,NA,4
"270","OVT_H_MA",NA,"J",NA,NA,NA,4
"271","OBN_H_MA","F","A",NA,NA,NA,4
"272","OBV_H_MA","M","A",NA,NA,NA,4
"273","Nsmu_V_MA",NA,NA,NA,NA,NA,4
"274","GMP_H_BG",NA,"J",NA,NA,NA,5
"275","GON_H_BG",NA,NA,NA,NA,NA,5
"276","GVO_H_BG","F",NA,NA,NA,NA,5
"277","GBV_H_BG","M","A",NA,NA,NA,5
"278","BGM_H_BG",NA,NA,NA,NA,NA,5
"279","GBM_H_BG",NA,NA,NA,NA,NA,5
"280","GVOG_H_BG",NA,NA,NA,NA,NA,5
"281","GVP_H_BG","F","A",NA,NA,NA,5
"282","GB_H_BG",NA,NA,NA,NA,NA,5
"283","GNM_H_BG",NA,NA,NA,NA,NA,5
"284","GV_H_BG","M","A",NA,NA,NA,5
"285","GPM_H_BG","M","A",NA,NA,NA,5
"286","GOB_H_BG",NA,NA,NA,NA,NA,5
"287","unmarked3",NA,NA,NA,NA,NA,NA
"288","GNT_H_BG",NA,NA,NA,NA,NA,5
"289","GNG_H_BG",NA,NA,NA,NA,NA,5
"290","GTV_H_BG","F","A",NA,NA,NA,5
"291","GN_H_BG",NA,NA,NA,NA,NA,5
"292","GTO_H_BG",NA,NA,NA,NA,NA,5
"293","GNV_H_BG","M","A",NA,NA,NA,5
"294","GTG_H_BG",NA,NA,NA,NA,NA,5
"295","GMB_H_BG",NA,NA,NA,NA,NA,5
"296","GNO_H_BG","M","A",NA,NA,NA,5
"297","NG_H_BG",NA,NA,NA,NA,NA,5
"298","GPG_H_BG","M","A",NA,NA,NA,5
"299","NP_H_BG",NA,NA,NA,NA,NA,5
"300","PM_H_CG","F","A",NA,NA,NA,5
"301","X142",NA,NA,NA,NA,NA,5
"302","GBO_H_BG",NA,NA,NA,NA,NA,5
"303","G_H_BG",NA,NA,NA,NA,NA,5
"304","X143",NA,NA,NA,NA,NA,5
"305","GPV_H_BG","M","A",NA,NA,NA,5
"306","GVB_H_BG",NA,NA,NA,NA,NA,5
"307","GMN_H_BG",NA,NA,NA,NA,NA,5
"308","NO_H_BG",NA,NA,NA,NA,NA,5
"309","GVT_H_BG",NA,NA,NA,NA,NA,5
"310","GP_H_BG","M","A",NA,NA,NA,5
"311","GPB_H_BG","M","A",NA,NA,NA,5
"312","GVM_H_BG","F","A",NA,NA,NA,5
"313","GTN_H_BG","M","A",NA,NA,NA,5
"314","NV_H_BG",NA,NA,NA,NA,NA,5
"315","TV_H",NA,NA,NA,NA,NA,5
"316","NM_H_BG",NA,"J",NA,NA,NA,5
"317","GM_H_BG","M","J",NA,NA,NA,5
"318","GTP_H_BG","F","A",NA,NA,NA,5
"319","NVP_H_BG","M","A",NA,NA,NA,5
"320","GMO_H_BG",NA,NA,NA,NA,NA,5
"321","GNM_V_NB",NA,"J",NA,NA,NA,5
"322","VT_H",NA,NA,NA,NA,NA,5
"323","NVO_H_BG",NA,"J",NA,NA,NA,5
"324","NT_H_BG",NA,NA,NA,NA,NA,5
"325","X52",NA,NA,NA,NA,NA,5
"326","X48",NA,NA,NA,NA,NA,5
"327","NVN_H_BG",NA,NA,NA,NA,NA,5
"328","GNB_H_BG",NA,NA,NA,NA,NA,5
"329","GVN_H_BG",NA,NA,NA,NA,NA,5
"330","NVG_H_BG",NA,NA,NA,NA,NA,5
"331","NVB_H_BG",NA,NA,NA,NA,NA,5
"332","NPG_H_BG",NA,NA,NA,NA,NA,5
"333","GT_H_BG","M","A",NA,NA,NA,5
"334","GOM_H_BG",NA,NA,NA,NA,NA,5
"335","NPV_H_BG",NA,NA,NA,NA,NA,5
"336","N_H_BG",NA,"J",NA,NA,NA,5
"337","NPN_H_BG",NA,NA,NA,NA,NA,5
"338","NPB_H_BG",NA,NA,NA,NA,NA,5
"339","NPM_H_BG",NA,NA,NA,NA,NA,5
"340","GMG_H_BG",NA,"J",NA,NA,NA,5
"341","GO_H_BG","M","A",NA,NA,NA,5
"342","GBN_H_BG","M","A",NA,NA,NA,5
"343","NPO_H_BG",NA,NA,NA,NA,NA,5
"344","NOP_H_BG",NA,NA,NA,NA,NA,5
"345","PNO_V_NB",NA,NA,NA,NA,NA,3
"346","X25",NA,NA,NA,NA,NA,5
"347","OGO_H_MA","M","A",NA,NA,NA,4
"348","GTO_V_NB",NA,NA,NA,NA,NA,3
"349","GMV_H_BG","F","A",NA,NA,NA,5
