"","MVT_V_BA","BVP_V_BA","BPO_V_BA","BTP_V_BA","BON_V_BA","MVG_V_BA","ONP_V_BA","NGO_V_MA","MTP_V_BA","OPV_V_BA","BOM_V_BA","PTP_V_NB","OMN_V_BA","BGP_V_BA","TMG_V_BA","BPG_V_BA","BNO_V_BA","OVN_V_BA","ONT_V_BA","X118","BVB_V_BA","BMN_V_BA","TOP_V_BA","OP_V_BA","OVM_V_BA","TMP_V_BA","BTV_V_BA","BPB_V_BA","BPT_V_BA","PVT_H_CG","NOT_V_MA","OGM_V_BA","MGO_V_BA","OMN_VBA","BT_V_BA","OPB_V_BA","BGO_V_BA","NGP_V_MA","N_V_BA","BGV_V_BA","OGV_V_BA","MGV_V_BA","TPN_V_BA","MTV_V_BA","OVP_V_BA","OMG_V_BA","TMB_V_BA","BOG_V_BA","TNO_V_BA","ONV_V_BA","ONO_V_BA","TNP_V_BA","TO_H_CG","TPV_V_BA","OMB_V_BA","OPG_V_BA","OT_V_BA","TGT_V_BA","BNV_V_BA","BVM_V_BA","MVB_V_BA","B_V_BA","BTB_V_BA","X136","MOT_V_BA","OMOG_V_BA","MTM_V_BA","VPG_V_BA","MPG_V_BA","BG_V_BA","TVG_V_BA","VPT_V_BA","TNB_V_BA","MVP_V_BA","TBG_V_BA","MTB_V_BA","BV_V_BA","Msmu_BA","OMP_V_BA","TVP_V_BA","BVN_V_BA","MGM_V_BA","TNP_H_CG","MNP_V_BA","TPM_V_BA","BMP_V_BA","NTM_V_MA","BMV_V_BA","NOB_V_MA","BGVN_V_BA","BBV_V_BA","PVN_V_NB","MPV_V_BA","BOB_V_BA","TNV_H_CG","VR_H_CG","TV_H_CG","MPN_V_BA","TVP_H_CG","BP_V_BA","VBV_V_BA","BGM_V_BA","BPV_V_BA","BMG_V_BA","VBV_H_CG","TPV_H_CG","PTV_H_CG","OTBb_V_BA"
"TVP_H_CG",0,NA,NA,NA,NA,NA,NA,0.012903019,NA,0.013417651,NA,0.00961081,0,0.004335413,0.004105988,NA,NA,0,NA,0.001858859,0,0,0.003853845,0,0,0.006968967,0,NA,NA,0.013514892,0,0.006095521,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0.005445565,NA,NA,0.002976054,0,NA,NA,0.022162631,0,0.003362124,0,NA,0.002200535,NA,NA,NA,0,0,NA,0,NA,0.002810384,0,0,NA,NA,0.011208942,NA,NA,NA,NA,NA,NA,NA,NA,0,0.013582166,0.014151427,0,0.5,NA,NA,NA,NA,0.009031781,0.004547394,NA,0,NA
"BP_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VBV_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGM_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BPV_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMG_V_BA",0.008580294,NA,NA,NA,NA,NA,NA,0,NA,0.053326156,NA,0,0,0.218110713,0,NA,NA,0.230037214,NA,0,0,0.001467021,0.005178933,0,0,0,0,NA,NA,0.007903162,0.010973767,0,NA,NA,NA,NA,0.017229427,0.012591817,0,0,NA,0.001336552,0,0,0.001809064,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0.00263315,NA,NA,0,0,NA,NA,0.002923972,0,0,0,NA,0,NA,NA,NA,0.008445586,0,NA,0,NA,0.008942856,0,0,NA,NA,0.000888894,NA,NA,NA,NA,NA,NA,NA,NA,0,0.032679361,0,0.010474743,0.009031781,NA,NA,NA,NA,0.5,0,NA,0,NA
"VBV_H_CG",0.037088468,NA,NA,NA,NA,NA,NA,0.004597702,NA,0,NA,0.010085641,0,0,0,NA,NA,0,NA,0,0,0,0,0.011265624,0.001406467,0,0,NA,NA,0,0.003972874,0,NA,NA,NA,NA,0,0,0,0.097454815,NA,0,0.02168827,0,0,0.017195211,NA,NA,0,0,NA,NA,NA,NA,0,0.016541837,NA,NA,NA,0.013812898,NA,NA,0,0,NA,NA,0.003427814,0.003017468,0.002927378,0,NA,0.01409359,NA,NA,NA,0.001250159,0,NA,0,NA,0.018547445,0,0.020014033,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.034057924,0,0,0.001259048,0.004547394,NA,NA,NA,NA,0,0.5,NA,0.009060489,NA
"TPV_H_CG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTV_H_CG",0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.004100333,0,0,0,NA,NA,0,NA,0.003406739,0.002950615,0,0,0,0,0,0,NA,NA,0,0,0.082906967,NA,NA,NA,NA,0,0,0.007353364,0.002609309,NA,0,0,0,0.025155897,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0.010413908,NA,NA,0,0.005044716,NA,NA,0,0,0,0,NA,0.008589728,NA,NA,NA,0.003710893,0,NA,0,NA,0,0.005399211,0,NA,NA,0.007137313,NA,NA,NA,NA,NA,NA,NA,NA,0.0017619,0,0,0,0,NA,NA,NA,NA,0,0.009060489,NA,0.5,NA
"OTBb_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
