"date","group","session","rel.time","subject","behav1","behav2","type","change","time_hh_min"
20190815,"BA",1,1290.145,"OMN_V_BA","R","op","primary",FALSE,1421.50241666667
20190815,"BA",1,1302.829,"BPO_V_BA","R","op","primary",FALSE,1421.71381666667
20190815,"BA",1,1334.506,"BNO_V_BA","R","op","primary",FALSE,1422.24176666667
20190815,"BA",1,1346.952,"OPV_V_BA","R","op","primary",FALSE,1422.4492
20190815,"BA",1,1378.212,"BPG_V_BA","R","op","primary",FALSE,1422.9702
20190815,"BA",1,1393.088,"OPV_V_BA","B","op","primary",FALSE,1423.21813333333
20190815,"BA",1,1407.275,"TMG_V_BA","R","op","primary",FALSE,1423.45458333333
20190815,"BA",1,1466.666,"OVN_V_BA","R","op","primary",FALSE,1424.44443333333
20190815,"BA",1,1483.889,"BGP_V_BA","R","op","primary",FALSE,1424.73148333333
20190815,"BA",1,1491.564,"PTP_V_NB","R","op","primary",FALSE,1424.8594
20190815,"BA",1,1526.217,"TMG_V_BA","R","op","primary",FALSE,1425.43695
20190815,"BA",1,1538.535,"ONP_V_BA","R","op","primary",FALSE,1425.64225
20190815,"BA",1,1545.105,"BOM_V_BA","R","op","primary",FALSE,1425.75175
20190815,"BA",1,1574.603,"BPG_V_BA","B","op","primary",FALSE,1426.24338333333
20190815,"BA",1,1589.612,"TMG_V_BA","R","op","primary",FALSE,1426.49353333333
20190815,"BA",1,1613.559,"OPV_V_BA","B","op","primary",FALSE,1426.89265
20190815,"BA",1,1634.511,"BNO_V_BA","R","op","primary",FALSE,1427.24185
20190815,"BA",1,1645.359,"BOM_V_BA","R","op","primary",FALSE,1427.42265
20190815,"BA",1,1657.934,"ONP_V_BA","R","op","primary",FALSE,1427.63223333333
20190815,"BA",1,1669.618,"TMG_V_BA","R","op","primary",FALSE,1427.82696666667
20190815,"BA",1,1681.874,"ONT_V_BA","R","op","primary",FALSE,1428.03123333333
20190815,"BA",1,1691.467,"ONP_V_BA","R","op","primary",FALSE,1428.19111666667
20190815,"BA",1,1720.46,"TMG_V_BA","R","op","primary",FALSE,1428.67433333333
20190815,"BA",1,1741.717,"BPG_V_BA","R","op","primary",FALSE,1429.02861666667
20190815,"BA",1,1753.134,"OPV_V_BA","B","op","primary",FALSE,1429.2189
20190815,"BA",1,1755.375,"ONP_V_BA","R","op","primary",FALSE,1429.25625
20190815,"BA",1,1772.399,"MTP_V_BA","R","op","primary",FALSE,1429.53998333333
20190815,"BA",1,1775.264,"PTP_V_NB","R","op","primary",FALSE,1429.58773333333
20190815,"BA",1,1779.171,"unmarked","R","op","primary",FALSE,1429.65285
20190815,"BA",1,1827.701,"TMG_V_BA","R","op","primary",FALSE,1430.46168333333
20190815,"BA",1,1833.64,"BOM_V_BA","R","op","primary",FALSE,1430.56066666667
20190815,"BA",1,1844.948,"BGP_V_BA","R","op","primary",FALSE,1430.74913333333
20190815,"BA",1,1850.097,"ONP_V_BA","R","op","primary",FALSE,1430.83495
20190815,"BA",1,1856.17,"BPG_V_BA","R","op","primary",FALSE,1430.93616666667
20190815,"BA",1,1916.711,"MTP_V_BA","R","op","primary",FALSE,1431.94518333333
20190815,"BA",1,1925.459,"OMN_V_BA","B","op","primary",FALSE,1432.09098333333
20190815,"BA",1,1929.317,"unmarked","R","op","primary",FALSE,1432.15528333333
