"","ID","ROOST"
"460","PMN_V_NB",NA
"461","PMO_H_CG",NA
"462","PMO_V_NB",NA
"463","PMT_V_CG",3
"464","PMT_V_NB",3
"465","PMV_V_NB",3
"466","PMV_V_NB.1",NA
"467","PN_V_NB",3
"468","PNB_H_CG",2
"469","PNB_V_NB",3
"470","PNG_H_CG",2
"471","PNG_V_NB",3
"472","PNO_H_CG",2
"473","PNO_V_NB",3
"474","PNP_H_CG",2
"475","PNT_H_CG",2
"476","PNV_H_CG",2
"477","PO_H_CG",NA
"478","PO_V_NB",3
"479","POB_V_NB",3
"480","POG_V_NB",3
"481","PON_V_NB",3
"482","POP_V_NB",NA
"483","PT_H_CG",2
"484","PT_V_NB",3
"485","PTB_H_CG",2
"486","PTb_V_NB",NA
"487","PTB_V_NB",3
"488","PTG_V_NB",3
"489","PTN_V_NB",3
"490","PTO_V_NB",3
"491","PTP_H_CG",2
"492","PTP_V_NB",3
"493","PTV_H_CG",2
"494","PTVP_V_NB",3
"495","PV_H_CG",2
"496","PV_V_NB",NA
"497","PVB_H_CG",2
"498","PVB_H_CG.1",NA
"499","PVG_V_NB",NA
"500","PVN_H_CG",3
"501","PVN_V_NB",NA
"502","PVO_V_NB",3
"503","PVP_H_CG",3
"504","PVP_V_NB",3
"505","PVT_H_CG",2
"506","PVT_V_NB",NA
"507","raie_BA",NA
"508","SH_BA",1
"509","TB_H_CG",2
"510","TB_V_BA",1
"511","TBG_V_BA",1
"512","TBM_V_BA",1
"513","TBN_V_BA",1
"514","TBO_V_BA",NA
"515","TBP_V_BA",3
"516","TBT_V_BA",3
"517","TG_H_CG",2
"518","TGM_V_BA",1
"519","TGN_V_CG",2
"520","TGO_H_CG",2
"521","TGP_V_BA.",1
"522","TGT_V_BA.",1
"523","TGV_H_CG",2
"524","TGV_V_BA",NA
"525","TM_H_CG",2
"526","TMB_V_BA",1
"527","TMG_V_BA",3
"528","TMN_V_BA",3
"529","TMO_V_BA",1
"530","TMP_V_BA",3
"531","TMT_V_BA",NA
"532","TN_H_CG",NA
"533","TNB_H_CG",NA
"534","TNB_V_BA",NA
"535","TNG_H_CG",2
"536","TNM_V_BA",3
"537","TNO_H_CG",NA
"538","TNO_V_BA",1
"539","TNP_H_CG",2
"540","TNP_V_BA",NA
"541","TNT_H_CG",2
"542","TNT_V_BA",NA
"543","TNV_H_CG",2
"544","TNV_V_BA",3
"545","TO_H_CG",1
"546","TO2_H_CG",2
"547","TOG_H_CG",2
"548","TOM_V_BA",NA
"549","TOP_V_BA",1
"550","TOT_V_BA",1
"551","TP_V_BA",1
"552","TPB_V_BA",1
"553","TPG_V_BA",3
"554","TPM_V_BA.",1
"555","TPN_H_CG",2
"556","TPN_V_BA",1
"557","TPO_V_BA.",1
"558","TPT_H_CG",2
"559","TPT_V_BA",3
"560","TPTP_V_BA",NA
"561","TPV_H_CG",2
"562","TPV_V_BA",NA
"563","TV_H_CG",2
"564","TVB_V_BA",NA
"565","TVG_H_CG",NA
"566","TVG_V_BA.",3
"567","TVN_H_CG",2
"568","TVN_V_BA",3
"569","TVP_H_CG",2
"570","TVP_V_BA",3
"571","TVT_V_CG",NA
"572","VBN_H_CG",2
"573","VBP_V_CG",2
"574","VBV_H_CG",1
"575","VG_H_CG",2
"576","VGN_V_CG",NA
"577","VGO_H_CG",2
"578","VGT_H_CG",NA
"579","VGV_H_CG",2
"580","VM_H_CG",2
"581","VN_V_CG.was.VNG",3
"582","VNB_H_CG",2
"583","VNG_H_CG",NA
"584","VNO_H_CG",NA
"585","VNP_H_CG",2
"586","VNT_H_CG",2
"587","VNV_H_CG",2
"588","VO_V_CG",NA
"589","VOB_H_CG",2
"590","VOG_H_CG",2
"591","VOT_H_CG",2
"592","VOV_H_CG",2
"593","VP_V_CG",2
"594","VPB_H_CG",2
"595","VPG_H_CG",2
"596","VPG_V_BA",3
"597","VPN_H_CG",2
"598","VPN_V_BA",3
"599","VPNT_H_CG",2
"600","VPO_H_CG",2
"601","VPO_V_NB",3
"602","VPT_V_BA",3
"603","VPT_V_CG",2
"604","VPV_H_CG",2
"605","VR_H_CG",2
"606","VT_H_CG",2
"607","VT_V_NA",3
"608","VTB_H_CG",NA
"609","VTG_H_CG",2
"610","VTO_H_CG",2
"611","VTP_H_CG",2
"612","VTPsm_H_CG",2
"613","VTV_H_CG",NA
"614","X1",NA
"615","X103",NA
"616","X107",2
"617","X108",1
"618","X11",2
"619","X115",3
"620","X118",1
"621","X120",NA
"622","X124",NA
"623","X131",NA
"624","X135",NA
"625","X136",1
"626","X139",NA
"627","X15",1
"628","X2",NA
"629","X23",NA
"630","X27",NA
"631","X31",NA
"632","X35",2
"633","X39",NA
"634","X3F_BA",1
"635","X40",2
"636","X42",2
"637","X5",2
"638","X50",2
"639","X53",NA
"640","X71",3
"641","X77",1
"642","X78",2
"643","X88",1
"644","X93",2
"645","Ycheek_NB",3
