"","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout","sex_index","age_index","s_male_red","s_male_blue","s_adult_red","s_adult_blue","rank_index","roost","s_roost_red","s_roost_blue"
"90",20190815,1,"BPO_V_BA","1-RED",1107.347,7,"op","Rop","R","op","BA",1,0,1,24,0,0,90,22,0,"0","0",0,0,0,0,5,1,0,0
"91",20190815,1,"OPV_V_BA","1-RED",1114.771,8,"op","Rop","R","op","BA",1,0,1,74,0,0,91,72,0,"0","3",0,0,0,0,NA,2,0,0
"92",20190815,1,"TMG_V_BA","1-RED",1122.183,6,"op","Rop","R","op","BA",1,0,1,87,0,0,92,85,0,"1","0",0,0,0,0,NA,3,0,0
"93",20190815,1,"BPO_V_BA","1-RED",1141.633,6,"op","Rop","R","op","BA",1,0,1,24,0,0,93,22,0,"0","0",0,0,0,0,5,1,0,0
"94",20190815,1,"MTP_V_BA","1-BLUE",1158.958,5,"op","Bop","B","op","BA",0,1,1,47,0,0,94,45,0,"0","0",0,0,0,0,38,3,0,0
"95",20190815,1,"BOM_V_BA","1-RED",1164.656,5,"op","Rop","R","op","BA",1,0,1,19,0,0,95,17,0,"0","0",0,0,0,0,20,1,0,0
"96",20190815,1,"OMN_V_BA","1-RED",1189.158,6,"op","Rop","R","op","BA",1,0,1,63,0,0,96,61,0,"1","2",0,0,0,0,35,1,0,0
"97",20190815,1,"BPO_V_BA","1-RED",1195.606,8,"op","Rop","R","op","BA",1,0,1,24,0,0,97,22,0,"0","0",0,0,0,0,5,1,0,0
"98",20190815,1,"PTP_V_NB","1-RED",1199.054,6,"op","Rop","R","op","BA",1,0,1,80,0,0,98,78,0,"1","3",0,0,0,0,NA,3,0,0
"99",20190815,1,"BPO_V_BA","1-RED",1259.931,4,"op","Rop","R","op","BA",1,0,1,24,0,0,99,22,0,"0","0",0,0,0,0,5,1,0,0
"100",20190815,1,"BOM_V_BA","1-RED",1273.958,3,"op","Rop","R","op","BA",1,0,1,19,0,0,100,17,0,"0","0",0,0,0,0,20,1,0,0
