"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"143","PNP_V_CG",NA,NA,NA,NA,NA,"1",0,0
"144","TG_H_CG","M","A",NA,NA,NA,"1",0,0
"145","BGO_V_BA","F",NA,NA,NA,NA,"2",0,0
"146","TNP_V_CG",NA,NA,NA,NA,NA,"1",0,0
"147","VTO_H_CG","M","A",NA,NA,NA,"1",0,0
"148","PMG_H_CG","F",NA,NA,NA,NA,"1",0,0
"149","unmarked2",NA,NA,NA,NA,NA,NA,0,0
"150","PNO_H_CG","M","J",NA,NA,NA,"1",0,0
"151","VP_V_CG",NA,NA,NA,NA,NA,"1",0,0
"152","VNV_H_CG","F","J",NA,NA,NA,"1",0,0
"153","TPT_V_CG",NA,NA,NA,NA,NA,"1",0,0
"154","MNG_V_BA","M","A",NA,NA,NA,"2",0,0
"155","PMT_H_CG","F","J",NA,NA,NA,"1",0,0
"156","TNV_V_CG",NA,NA,NA,NA,NA,"1",0,0
"157","PNB_H_CG","F","A",NA,NA,NA,"1",0,0
"158","VBP_H_CG","M","A",NA,NA,NA,"1",0,0
"159","PVB_H_CG",NA,"J",NA,NA,NA,"1",0,0
"160","MVB_V_BA",NA,NA,NA,NA,NA,"2",0,0
"161","TVP_V_BA",NA,NA,NA,NA,NA,"2",0,0
"162","NGN_V_MA","F","A",NA,NA,NA,"4",0,0
"163","VPT_H_CG","M","J",NA,NA,NA,"1",0,0
"164","PTB1_V_NB","M",NA,NA,NA,NA,"3",0,0
"165","OGB_V_BA",NA,"J",NA,NA,NA,"2",0,0
"166","TBT_V_BA",NA,NA,NA,NA,NA,"2",0,0
"167","GB_V_NB",NA,NA,NA,NA,NA,"3",0,0
"168","PMT_V_NB","M","A",NA,NA,NA,"3",0,0
"169","MOG_V_BA","M","A",NA,NA,NA,"2",0,0
"170","BNG_V_BA","F","J",NA,NA,NA,"2",0,0
"171","PMV_V_NB","M","A",NA,NA,NA,"3",0,0
"172","GN_V_NB","M","A",NA,NA,NA,"3",0,0
"173","PO_V_NB",NA,"J",NA,NA,NA,"3",0,0
"174","BGB_V_BA",NA,NA,NA,NA,NA,"2",0,0
"175","MBT_V_BA","M","A",NA,NA,NA,"2",0,0
"176","OTP_V_BA","M","A",NA,NA,NA,"2",0,0
"177","PON_V_NB",NA,NA,NA,NA,NA,"3",0,0
"178","TVN_V_BA",NA,"J",NA,NA,NA,"2",0,0
"179","GMG_V_NB",NA,NA,NA,NA,NA,"3",0,0
"180","Ncrest_NB",NA,NA,NA,NA,NA,"3",0,0
"181","GPO_V_NB","F","A",NA,NA,NA,"3",0,0
"182","GNT_V_NB","M","A",NA,NA,NA,"3",0,0
"183","GMP_V_NB",NA,"J",NA,NA,NA,"3",0,0
"184","GV_V_NB","M","J",NA,NA,NA,"3",0,0
"185","POB_V_NB","M","A",NA,NA,NA,"3",0,0
"186","GT_V_NB",NA,"J",NA,NA,NA,"3",0,0
"187","ONG_V_BA","M",NA,NA,NA,NA,"2",0,0
"188","BTG_V_BA",NA,"J",NA,NA,NA,"2",0,0
"189","X115",NA,NA,NA,NA,NA,"2",0,0
"190","POG_V_NB","M","A",NA,NA,NA,"3",0,0
"191","PGO_V_NB","F","A",NA,NA,NA,"3",0,0
"192","GTG_V_NB","F","A",NA,NA,NA,"3",0,0
"193","TPT_V_BA",NA,"J",NA,NA,NA,"2",0,0
"194","Ocheek_NB","F","A",NA,NA,NA,"3",0,0
