"","ID","sex","age","rank_ba","rank_cg","rank_nb","roost"
"327","NT_H_MA",NA,NA,NA,NA,NA,NA
"328","GMG_H_BG",NA,"J",NA,NA,NA,NA
"329","GO_H_BG","M","A",NA,NA,NA,NA
"330","GBN_H_BG","M","A",NA,NA,NA,NA
"331","NPO_H_BG",NA,NA,NA,NA,NA,NA
"332","NOP_H_BG",NA,NA,NA,NA,NA,NA
"333","PNO_V_NB",NA,NA,NA,NA,NA,3
"334","X25","M","A",NA,NA,NA,NA
"335","OGO_H_MA","M","A",NA,44,NA,1
"336","OBP_H_MA","M","A",NA,NA,NA,NA
"337","NVT_V_MA","M",NA,NA,NA,NA,NA
"338","OMN_H_MA","M","A",NA,NA,NA,NA
"339","MGN_V_BA","F","A",NA,NA,NA,3
"340","OMT_H_MA",NA,"J",NA,NA,NA,NA
"341","OVP_H_MA",NA,NA,NA,NA,NA,NA
"342","OVG_H_MA","F","A",NA,NA,NA,NA
"343","OT_H_MA","F","J",NA,NA,NA,NA
"344","OBO_H_MA",NA,"J",NA,NA,NA,NA
"345","NGT_V_MA","M","A",NA,NA,NA,NA
"346","MGB_V_BA","F","A",110,NA,72,3
"347","NBV_V_MA",NA,NA,NA,NA,NA,NA
"348","ONG_H_MA","","",NA,NA,NA,NA
"349","OGV_H_MA","M","A",NA,NA,NA,NA
"350","NBO_V_MA","M","A",NA,NA,NA,NA
"351","VGN_V_BA",NA,NA,NA,NA,NA,NA
"352","NVG_V_MA","M","A",NA,NA,NA,NA
"353","NPB_V_MA","M","J",NA,NA,NA,NA
"354","OGB_H_MA","M","A",NA,NA,NA,NA
"355","OGP_H_MA","M","A",NA,NA,NA,NA
"356","OPT_H_MA","","",NA,NA,NA,NA
"357","OTP_H_MA","","",NA,NA,NA,NA
"358","NON_V_MA","F",NA,NA,NA,NA,NA
"359","OGN_H_MA",NA,"J",NA,NA,NA,NA
"360","OGO_H_BG",NA,NA,NA,NA,NA,NA
"361","GTM_H_BA",NA,NA,NA,NA,NA,NA
"362","GTO_V_NB",NA,NA,NA,NA,NA,NA
"363","GTM_H_BG",NA,NA,NA,NA,NA,NA
"364","OV_V_MA",NA,NA,NA,NA,NA,NA
"365","NTV_V_MA",NA,NA,NA,NA,NA,NA
"366","ONP_V_MA",NA,NA,NA,NA,NA,NA
"367","beginningBFD_MA",NA,NA,NA,NA,NA,NA
"368","OVBO_H_MA",NA,NA,NA,NA,NA,NA
"369","OVT_H_MA",NA,"J",NA,NA,NA,NA
"370","OBN_H_MA","F","A",NA,NA,NA,NA
"371","OBV_H_MA","M","A",NA,NA,NA,NA
"372","Nsmu_V_MA",NA,NA,NA,NA,NA,NA
