"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"96","20190815","1","OMN_V_BA","1-RED",1189.158,"6","op","Rop","R","op","BA"
"97","20190815","1","BPO_V_BA","1-RED",1195.606,"8","op","Rop","R","op","BA"
"98","20190815","1","PTP_V_NB","1-RED",1199.054,"6","op","Rop","R","op","BA"
"99","20190815","1","BPO_V_BA","1-RED",1259.931,"4","op","Rop","R","op","BA"
"100","20190815","1","BOM_V_BA","1-RED",1273.958,"3","op","Rop","R","op","BA"
"101","20190815","1","BPG_V_BA","1-RED",1287.207,"5","op","Rop","R","op","BA"
"102","20190815","1","OMN_V_BA","1-RED",1290.145,"4","op","Rop","R","op","BA"
"103","20190815","1","BPO_V_BA","1-RED",1302.829,"4","op","Rop","R","op","BA"
"104","20190815","1","BNO_V_BA","1-RED",1334.506,"5","op","Rop","R","op","BA"
"105","20190815","1","OPV_V_BA","1-RED",1346.952,"4","op","Rop","R","op","BA"
"106","20190815","1","BPG_V_BA","1-RED",1378.212,"5","op","Rop","R","op","BA"
"107","20190815","1","OPV_V_BA","1-BLUE",1393.088,"5","op","Bop","B","op","BA"
"108","20190815","1","TMG_V_BA","1-RED",1407.275,"4","op","Rop","R","op","BA"
"109","20190815","1","OVN_V_BA","1-RED",1466.666,"2","op","Rop","R","op","BA"
"110","20190815","1","BGP_V_BA","1-RED",1483.889,"3","op","Rop","R","op","BA"
"111","20190815","1","PTP_V_NB","1-RED",1491.564,"3","op","Rop","R","op","BA"
"112","20190815","1","TMG_V_BA","1-RED",1526.217,"6","op","Rop","R","op","BA"
"113","20190815","1","ONP_V_BA","1-RED",1538.535,"6","op","Rop","R","op","BA"
"114","20190815","1","BOM_V_BA","1-RED",1545.105,"6","op","Rop","R","op","BA"
"115","20190815","1","BPG_V_BA","1-BLUE",1574.603,"5","op","Bop","B","op","BA"
"116","20190815","1","TMG_V_BA","1-RED",1589.612,"5","op","Rop","R","op","BA"
"117","20190815","1","OPV_V_BA","1-BLUE",1613.559,"6","op","Bop","B","op","BA"
"118","20190815","1","BNO_V_BA","1-RED",1634.511,"4","op","Rop","R","op","BA"
"119","20190815","1","BOM_V_BA","1-RED",1645.359,"5","op","Rop","R","op","BA"
"120","20190815","1","ONP_V_BA","1-RED",1657.934,"5","op","Rop","R","op","BA"
"121","20190815","1","TMG_V_BA","1-RED",1669.618,"3","op","Rop","R","op","BA"
"122","20190815","1","ONT_V_BA","1-RED",1681.874,"4","op","Rop","R","op","BA"
"123","20190815","1","ONP_V_BA","1-RED",1691.467,"5","op","Rop","R","op","BA"
"124","20190815","1","TMG_V_BA","1-RED",1720.46,"4","op","Rop","R","op","BA"
