"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"1871",1871,20190822,1,"TMB_V_BA","1-RED",1059.047,7,"op","Rop","R","op","BA",1,0,1,87,0,0,1871,84,0
"1910",1910,20190822,2,"TMB_V_BA","1-RED",1143.964,7,"op","Rop","R","op","BA",1,0,1,87,0,0,1910,84,0
"1929",1929,20190822,1,"TMB_V_BA","1-RED",1170.81,8,"op","Rop","R","op","BA",1,0,1,87,0,0,1929,84,0
"1965",1965,20190822,1,"TMB_V_BA","1-RED",1270.441,5,"op","Rop","R","op","BA",1,0,1,87,0,0,1965,84,0
"1983",1983,20190822,1,"TMB_V_BA","1-RED",1331.027,8,"op","Rop","R","op","BA",1,0,1,87,0,0,1983,84,0
"2265",2265,20190825,2,"TMB_V_BA","1-RED",99.978,3,"op","Rop","R","op","BA",1,0,1,87,0,0,2265,84,0
"2275",2275,20190825,2,"TMB_V_BA","1-RED",160.215,4,"op","Rop","R","op","BA",1,0,1,87,0,0,2275,84,0
"2277",2277,20190825,2,"TMB_V_BA","1-RED",174.766,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2277,84,0
"2281",2281,20190825,2,"TMB_V_BA","1-RED",205.783,3,"op","Rop","R","op","BA",1,0,1,87,0,0,2281,84,0
"2292",2292,20190825,2,"TMB_V_BA","1-RED",247.842,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2292,84,0
"2317",2317,20190825,2,"TMB_V_BA","1-RED",287.233,3,"op","Rop","R","op","BA",1,0,1,87,0,0,2317,84,0
"2359",2359,20190825,2,"TMB_V_BA","1-RED",383.616,4,"op","Rop","R","op","BA",1,0,1,87,0,0,2359,84,0
"2367",2367,20190825,2,"TMB_V_BA","1-RED",401.602,4,"drops","Rdr","R","dr","BA",1,0,0,87,0,0,2367,84,0
"2395",2395,20190825,2,"TMB_V_BA","1-RED",447.922,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2395,84,0
"2413",2413,20190825,2,"TMB_V_BA","1-RED",483.157,5,"drops","Rdr","R","dr","BA",1,0,0,87,0,0,2413,84,0
"2417",2417,20190825,2,"TMB_V_BA","1-RED",487.729,4,"drops","Rdr","R","dr","BA",1,0,0,87,0,0,2417,84,0
"2418",2418,20190825,2,"TMB_V_BA","1-RED",489.568,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2418,84,0
"2466",2466,20190825,2,"TMB_V_BA","1-RED",595.091,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2466,84,0
"2517",2517,20190825,2,"TMB_V_BA","1-RED",815.256,9,"op","Rop","R","op","BA",1,0,1,87,0,0,2517,84,0
"2551",2551,20190825,2,"TMB_V_BA","1-RED",861.869,6,"drops","Rdr","R","dr","BA",1,0,0,87,0,0,2551,84,0
"2553",2553,20190825,2,"TMB_V_BA","1-RED",865.731,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2553,84,0
"2596",2596,20190825,2,"TMB_V_BA","1-RED",943.77,3,"op","Rop","R","op","BA",1,0,1,87,0,0,2596,84,0
"2606",2606,20190825,1,"TMB_V_BA","1-RED",957.568,6,"op","Rop","R","op","BA",1,0,1,87,0,0,2606,84,0
"2636",2636,20190825,2,"TMB_V_BA","1-RED",1026.7,7,"op","Rop","R","op","BA",1,0,1,87,0,0,2636,84,0
"2652",2652,20190825,2,"TMB_V_BA","1-RED",1087.808,9,"op","Rop","R","op","BA",1,0,1,87,0,0,2652,84,0
"2668",2668,20190825,2,"TMB_V_BA","1-RED",1135.803,4,"op","Rop","R","op","BA",1,0,1,87,0,0,2668,84,0
"2675",2675,20190825,2,"TMB_V_BA","1-RED",1153.009,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2675,84,0
"2713",2713,20190825,2,"TMB_V_BA","1-RED",1354.578,7,"op","Rop","R","op","BA",1,0,1,87,0,0,2713,84,0
"2730",2730,20190825,2,"TMB_V_BA","1-RED",1434.303,5,"op","Rop","R","op","BA",1,0,1,87,0,0,2730,84,0
